evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
1 -0.4553649987 -0.185554 -0.049453 0.424964 0.439932 -0.703704 0.432370 0.197411 -0.262492 0.491262 0.154614 -0.012634
2 -0.2829442421 0.185554 0.049453 -0.424964 -0.439932 0.703704 -0.432370 -0.197411 0.262492 -0.491262 -0.154614 0.012634
3 -0.3223922569 0.111049 0.462803 -0.278829 0.084003 -0.836952 -0.028571 0.053761 -0.389878 0.054314 0.201680 0.013575
4 -0.2999242040 -0.111049 -0.462803 0.278829 -0.084003 0.836952 0.028571 -0.053761 0.389878 -0.054314 -0.201680 -0.013575
5 -0.3645575625 0.082473 -0.361511 0.669732 -0.075991 -1.000000 -0.996109 0.407421 0.268972 -0.262391 -0.316440 0.069102
6 -0.3658218843 -0.082473 0.361511 -0.669732 0.075991 1.000000 0.996109 -0.407421 -0.268972 0.262391 0.316440 -0.069102
7 -0.2109440473 -0.051088 0.355776 -0.951418 -0.951176 -1.000000 0.117148 0.250348 -0.934610 -0.847026 0.361318 -1.000000
8 -0.1306569750 0.051088 -0.355776 0.951418 0.951176 1.000000 -0.117148 -0.250348 0.934610 0.847026 -0.361318 1.000000
9 -0.1541532156 -0.621954 -0.126226 -1.000000 0.759306 1.000000 0.983449 0.923762 0.384748 0.576314 0.940954 -0.173782
10 -0.0631971607 0.621954 0.126226 1.000000 -0.759306 -1.000000 -0.983449 -0.923762 -0.384748 -0.576314 -0.940954 0.173782
11 -0.2453122362 0.856932 0.101573 -0.417901 0.555934 0.066065 -0.143573 0.236655 0.145604 -0.112065 1.000000 -0.517184
12 -0.3487061216 0.090565 0.750489 0.262207 0.289865 -0.289504 0.747599 -1.000000 -0.783260 0.148973 0.272002 -0.175055
13 -0.3536644158 0.169648 0.267592 -0.086478 -0.025383 0.824247 0.941692 -0.020831 -0.532362 0.761562 0.025403 0.054826
14 -0.1969173922 -0.333207 -0.190281 0.291527 0.427083 -1.000000 -0.379655 0.116971 0.212855 -0.282704 0.190520 -0.077662
15 -0.2185284328 0.067952 0.366993 0.510001 -1.000000 -0.650674 0.075255 0.018133 -0.737129 0.392625 -0.219669 -0.153647
16 -0.3527318196 -0.231512 -0.289682 -0.304952 1.000000 0.150991 0.486782 0.078007 0.417622 0.086233 0.435591 0.130812
17 -0.2767850210 0.019618 0.044995 0.350131 1.000000 -0.312751 -0.406662 -0.731764 -0.718917 0.298506 0.588448 -0.234595
18 -0.3601725724 -0.183178 0.032316 -0.145081 -0.781324 -0.186932 0.968699 0.827904 0.399410 0.180353 -0.372526 0.211760
19 -0.5390974318 -0.372529 -0.055302 -0.187764 0.144784 -0.144212 0.001653 0.377220 -0.075527 0.206164 0.341164 -0.792536
20 -0.1122163373 0.208969 0.132612 0.392814 0.256916 -0.355470 0.560384 -0.281080 -0.243980 0.272694 -0.125241 0.769700
21 -0.1375696409 0.110225 0.207044 0.660463 0.513252 0.272464 -0.320286 -0.051951 0.126116 0.356713 0.411259 -0.702274
22 -0.0860943076 -0.273785 -0.129734 -0.455413 -0.111552 -0.772146 0.882324 0.148091 -0.445623 0.122145 -0.195336 0.679438
23 -0.5496432718 0.239283 -0.120456 -0.069297 0.165931 -0.000071 0.388749 -0.201429 0.190738 1.000000 0.397945 -1.000000
24 -0.0866286738 -0.636516 0.188190 -0.233534 -0.241799 0.055691 0.595880 0.882416 -0.209441 -0.497424 -0.184180 0.889586
